categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t,Unnamed: 30
[5A2] Sitios no controlados de eliminación de residuos ,,8199975.04,,,,,,,,,,,,,,,,,,,,,,,,,,8199975.04,,
[5A3] Tiraderos a cielo abierto para eliminación de residuos,,4488248.18,,,,,,,,,,,,,,,,,,,,,,,,,,4488248.18,,
[5B] Tratamiento biológico de los residuos sólidos,,98484.79,69906.61,,,,,,,,,,,,,,,,,,,,,,,,,168391.4,,
[5C] Incineración y quema a cielo abierto  de residuos,2077697.23,780259.72,172214.12,,,,,,,,,,,,,,,,,,,,,,,,,3030171.07,1561.27,
[5C1] Incineración de residuos peligrosos industriales y biológico infeccioso,44390.35,86.703,1819.19,,,,,,,,,,,,,,,,,,,,,,,,,46296.24,,
[5C2] Quema a cielo abierto de residuos sólidos,2033306.88,780173.02,170394.93,,,,,,,,,,,,,,,,,,,,,,,,,2983874.83,1561.27,
[5D] Tratamiento y eliminación de aguas residuales,,23618548.53,6880252.69,,,,,,,,,,,,,,,,,,,,,,,,,30498801.22,,
[5D1] Tratamiento y eliminación de aguas residuales municipales,,4984901.95,4628081.85,,,,,,,,,,,,,,,,,,,,,,,,,9612983.8,,
[5D2] Tratamiento y eliminación de aguas residuales industriales,,18633646.58,2252170.84,,,,,,,,,,,,,,,,,,,,,,,,,20885817.42,,
[5E] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EMISIONES NETAS (t de CO2e),484922655.79,180281143.21,38769167.0,1340366.3,3770675.02,8068.5,201207.02,271.789,9656314.67,12080372.66,311005.9,174390.75,833798.24,55124.03,75398.15,74349.24,32626.41,2031271.3,88364.07,27475.96,3028.85,271.57,0.003,97.14,0.002,2700.88,400994.78,735141139.21,75656.06,
Bunkers,6691515.63,1290.13,48840.48,,,,,,,,,,,,,,,,,,,,,,,,,6741646.24,94.664,
Aviación internacional,6691515.63,1290.13,48840.48,,,,,,,,,,,,,,,,,,,,,,,,,6741646.24,94.664,
Marítimo internacional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Emisiones de CO2 por quema de biomasa,40629546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,40629546.37,,
