categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,emision_neta_carbono_negro_t
[3B4b] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
[3B4d] Caprino,,39158,20852,,,,,,,,,,,,,,,,,,,,,,,,,60010,
[3B4e] Caballos,,97833,776015,,,,,,,,,,,,,,,,,,,,,,,,,873848,
[3B4f] Mulas y asnos,,39297,285725,,,,,,,,,,,,,,,,,,,,,,,,,325022,
[3B4g] Aves de corral,,1177724,232350.22,,,,,,,,,,,,,,,,,,,,,,,,,1410074.22,
[3B4h] Otros  (especificar),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3B5] Emisiones indirectas de los N2O de la gestión del estiércol,,,1947957.82,,,,,,,,,,,,,,,,,,,,,,,,,1947957.82,
[3C] Cultivo del arroz,,230269.76,,,,,,,,,,,,,,,,,,,,,,,,,,230269.76,
[3D1] Emisiones directas de los N2O de los suelos gestionados,,,9879139.65,,,,,,,,,,,,,,,,,,,,,,,,,9879139.65,
[3D2] Emisiones indirectas de los N2O de los suelos gestionados,,,5053030.61,,,,,,,,,,,,,,,,,,,,,,,,,5053030.61,
[3F] Emisiones de quemado de biomasa en tierras de cultivo,,519120.6,158111.69,,,,,,,,,,,,,,,,,,,,,,,,,677232.29,2950.71
[3G] Encalado,34599.37,,,,,,,,,,,,,,,,,,,,,,,,,,,34599.37,
[3H] aplicación de urea,1077930.17,,,,,,,,,,,,,,,,,,,,,,,,,,,1077930.17,
"[4] Uso de la tierra, cambios de uso de la tierra y silvicultura (UTCUTS)",-202468411.43,521920,221280.05,,,,,,,,,,,,,,,,,,,,,,,,,-201725211.37,2121.94
[4A] Tierra forestales,-189840615.44,,,,,,,,,,,,,,,,,,,,,,,,,,,-189840615.44,
[4A1] Tierras forestales que permanecen como tal,-189618597,,,,,,,,,,,,,,,,,,,,,,,,,,,-189618597,
[4A2] Tierras convertidas a tierras forestales,-222018.44,,,,,,,,,,,,,,,,,,,,,,,,,,,-222018.44,
[4B] Tierra de cultivo,-13988817.07,,,,,,,,,,,,,,,,,,,,,,,,,,,-13988817.07,
[4B1] Tierras de cultivo que permanecen como tal,-15104436.96,,,,,,,,,,,,,,,,,,,,,,,,,,,-15104436.96,
