categoria_fuente_subfuente_emision,CO2,CH4,N2O,HFC_23,HFC_410A,HFC_43_10mee,HFC_125,HFC_134,HFC_134a,HFC_404A,HFC_407C,HFC_245fa,HFC_152a,HFC_227ea,HFC_236fa,HFC_365mfc_227ea,HFC_365mfc,HFC_507a,HFC_32,CF4,C2F6,C3F8,C4F6,c_C4F8,C5F8,NF3,SF6,emisiones_tCO2e,Unnamed: 29,emision_neta_carbono_negro_t
[2E3] Células fotovoltaicas,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,
[2E4] Fluido de transferencia térmica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2E5] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2F] Uso de productos sustitutos de las sustancias que agotan la capa de ozono,,,,,1882.505,0.0,0.0,0.0,2194032.879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,2195915.384,,
[2F1] Refrigeración y aire acondicionado,,,,,1882.505,,,,2194032.879,0.0,0.0,,,,,,,0.0,,,,,,,,,,2195915.384,,
[2F2] Agentes espumantes,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,,,,,,0.0,,
[2F3] Protección contra incendios,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,0.0,,
[2F4] Aerosoles,,,,,,,,,0.0,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,
[2F5] Solventes,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,
[2F6] Otras aplicaciones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2G] Manufactura y utilización de otros productos,,,,,,,,,,,,,,,,,,,,,,,,,,,116940.99,116940.99,,
[2G1] Equipos eléctricos,,,,,,,,,,,,,,,,,,,,,,,,,,,116940.99,116940.99,,
[2G2] SF6 y PFC de otros usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2G3] N2O de usos de productos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2G4] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2H] Otros,70066.065,,,,,,,,,,,,,,,,,,,,,,,,,,,70066.065,,
[2H1] Industria de la pulpa y el papel,70066.065,,,,,,,,,,,,,,,,,,,,,,,,,,,70066.065,,
[2H2] Industria de la alimentación y las bebidas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[2H3] Otros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3] Agricultura,1346279.28,85582098.803,23605319.929,,,,,,,,,,,,,,,,,,,,,,,,,110533698.012,,3385.22
[3A] Fermentación entérica,,68246200.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,68246200.0,,
[3A1] Bovino,,63993040.0,,,,,,,,,,,,,,,,,,,,,,,,,,63993040.0,,
[3A2] Ovinos,,1367125.0,,,,,,,,,,,,,,,,,,,,,,,,,,1367125.0,,
[3A3] Porcinos,,338871.0,,,,,,,,,,,,,,,,,,,,,,,,,,338871.0,,
[3A4a] Búfalos,,156833.0,,,,,,,,,,,,,,,,,,,,,,,,,,156833.0,,
[3A4b] Camello,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[3A4d] Caprino,,1418905.0,,,,,,,,,,,,,,,,,,,,,,,,,,1418905.0,,
[3A4e] Caballos,,719181.0,,,,,,,,,,,,,,,,,,,,,,,,,,719181.0,,
